Waf: Entering directory `/home/limemnghui/ns-allinone-3.27/ns-3.27/build'
[2322/2711] Compiling scratch/backup_1.cc
[2657/2711] Linking build/scratch/backup_1
Waf: Leaving directory `/home/limemnghui/ns-allinone-3.27/ns-3.27/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.882s)
12 10 12.0711
12 11 12.0711
12 13 12.0711
12 14 12.0711
0 1 12.0722
0 2 12.0722
0 13 12.0722
0 14 12.0722
7 6 12.0742
7 9 12.0742
12 10 12.0775
12 11 12.0775
12 13 12.0775
12 14 12.0775
14 0 12.0807
14 12 12.0807
14 0 12.0812
14 12 12.0812
14 0 12.0819
14 12 12.0819
14 0 12.0823
14 12 12.0823
14 0 12.0847
14 12 12.0847
14 0 12.0881
14 12 12.0881
14 0 12.0913
14 12 12.0913
9 7 12.0928
9 8 12.0928
9 10 12.0928
9 11 12.0928
12 10 12.0948
12 11 12.0948
12 13 12.0948
12 14 12.0948
12 10 12.095
12 11 12.095
12 13 12.095
12 14 12.095
12 10 12.0966
12 11 12.0966
12 13 12.0966
12 14 12.0966
12 10 12.0986
12 11 12.0986
12 13 12.0986
12 14 12.0986
12 10 12.1006
12 11 12.1006
12 13 12.1006
12 14 12.1006
12 10 12.103
12 11 12.103
12 13 12.103
12 14 12.103
12 10 12.1054
12 11 12.1054
12 13 12.1054
12 14 12.1054
5 3 12.1054
5 6 12.1054
12 10 12.1071
12 11 12.1071
12 13 12.1071
12 14 12.1071
14 0 12.1104
14 12 12.1104
14 0 12.112
14 12 12.112
14 0 12.1144
14 12 12.1144
14 0 12.116
14 12 12.116
12 10 12.1171
12 11 12.1171
12 13 12.1171
12 14 12.1171
14 0 12.1185
14 12 12.1185
14 0 12.1225
14 12 12.1225
0 1 12.1287
0 2 12.1287
0 13 12.1287
0 14 12.1287
0 1 12.1289
0 2 12.1289
0 13 12.1289
0 14 12.1289
0 1 12.1295
0 2 12.1295
0 13 12.1295
0 14 12.1295
0 1 12.1299
0 2 12.1299
0 13 12.1299
0 14 12.1299
0 1 12.131
0 2 12.131
0 13 12.131
0 14 12.131
14 0 12.1325
14 12 12.1325
0 1 12.133
0 2 12.133
0 13 12.133
0 14 12.133
0 1 12.1366
0 2 12.1366
0 13 12.1366
0 14 12.1366
14 0 12.1429
14 12 12.1429
14 0 12.1431
14 12 12.1431
14 0 12.1433
14 12 12.1433
14 0 12.1451
14 12 12.1451
14 0 12.1452
14 12 12.1452
14 0 12.1472
14 12 12.1472
14 0 12.1474
14 12 12.1474
14 0 12.1495
14 12 12.1495
2 3 12.151
2 0 12.151
14 0 12.1531
14 12 12.1531
14 0 12.1582
14 12 12.1582
0 1 12.1589
0 2 12.1589
0 13 12.1589
0 14 12.1589
0 1 12.1608
0 2 12.1608
0 13 12.1608
0 14 12.1608
14 0 12.161
14 12 12.161
0 1 12.163
0 2 12.163
0 13 12.163
0 14 12.163
0 1 12.1687
0 2 12.1687
0 13 12.1687
0 14 12.1687
0 1 12.1737
0 2 12.1737
0 13 12.1737
0 14 12.1737
0 1 12.1765
0 2 12.1765
0 13 12.1765
0 14 12.1765
8 6 12.2488
8 9 12.2488
0 1 12.2527
0 2 12.2527
0 13 12.2527
0 14 12.2527
11 9 12.3186
11 12 12.3186
10 9 12.3701
10 12 12.3701
6 4 12.3819
6 5 12.3819
6 7 12.3819
6 8 12.3819
3 1 12.4578
3 2 12.4578
3 4 12.4578
3 5 12.4578
4 3 12.4801
4 6 12.4801
12 10 12.4831
12 11 12.4831
12 13 12.4831
12 14 12.4831
13 0 12.4906
13 12 12.4906
14 0 12.4961
14 12 12.4961
8 6 12.6969
8 9 12.6969
1 3 12.9948
1 0 12.9948
7 6 12.9948
7 9 12.9948
1 3 12.9965
1 0 12.9965
7 6 12.9967
7 9 12.9967
7 6 12.9985
7 9 12.9985
1 3 12.9985
1 0 12.9985
1 3 13.0011
1 0 13.0011
7 6 13.0012
7 9 13.0012
7 6 13.0037
7 9 13.0037
1 3 13.0046
1 0 13.0046
1 3 13.0071
1 0 13.0071
3 1 13.0077
3 2 13.0077
3 4 13.0077
3 5 13.0077
3 1 13.0079
3 2 13.0079
3 4 13.0079
3 5 13.0079
9 7 13.0086
9 8 13.0086
9 10 13.0086
9 11 13.0086
9 7 13.0087
9 8 13.0087
9 10 13.0087
9 11 13.0087
3 1 13.0095
3 2 13.0095
3 4 13.0095
3 5 13.0095
7 6 13.0098
7 9 13.0098
9 7 13.0106
9 8 13.0106
9 10 13.0106
9 11 13.0106
1 3 13.0111
1 0 13.0111
3 1 13.0112
3 2 13.0112
3 4 13.0112
3 5 13.0112
9 7 13.0126
9 8 13.0126
9 10 13.0126
9 11 13.0126
3 1 13.0129
3 2 13.0129
3 4 13.0129
3 5 13.0129
3 1 13.0147
3 2 13.0147
3 4 13.0147
3 5 13.0147
9 7 13.0148
9 8 13.0148
9 10 13.0148
9 11 13.0148
9 7 13.0173
9 8 13.0173
9 10 13.0173
9 11 13.0173
3 1 13.0175
3 2 13.0175
3 4 13.0175
3 5 13.0175
7 6 13.0176
7 9 13.0176
9 7 13.0221
9 8 13.0221
9 10 13.0221
9 11 13.0221
2 3 13.0233
2 0 13.0233
2 3 13.0234
2 0 13.0234
3 1 13.024
3 2 13.024
3 4 13.024
3 5 13.024
11 9 13.0242
11 12 13.0242
11 9 13.0243
11 12 13.0243
11 9 13.0262
11 12 13.0262
2 3 13.0266
2 0 13.0266
2 3 13.0268
2 0 13.0268
11 9 13.0278
11 12 13.0278
9 7 13.0278
9 8 13.0278
9 10 13.0278
9 11 13.0278
2 3 13.0285
2 0 13.0285
3 1 13.0291
3 2 13.0291
3 4 13.0291
3 5 13.0291
11 9 13.0302
11 12 13.0302
2 3 13.0309
2 0 13.0309
9 7 13.0315
9 8 13.0315
9 10 13.0315
9 11 13.0315
2 3 13.0335
2 0 13.0335
11 9 13.0337
11 12 13.0337
11 9 13.0358
11 12 13.0358
2 3 13.0367
2 0 13.0367
11 9 13.0382
11 12 13.0382
0 1 13.0389
0 2 13.0389
0 13 13.0389
0 14 13.0389
12 10 13.0398
12 11 13.0398
12 13 13.0398
12 14 13.0398
12 10 13.0398
12 11 13.0398
12 13 13.0398
12 14 13.0398
12 10 13.0416
12 11 13.0416
12 13 13.0416
12 14 13.0416
0 1 13.0422
0 2 13.0422
0 13 13.0422
0 14 13.0422
11 9 13.0433
11 12 13.0433
12 10 13.0437
12 11 13.0437
12 13 13.0437
12 14 13.0437
0 1 13.0439
0 2 13.0439
0 13 13.0439
0 14 13.0439
2 3 13.0446
2 0 13.0446
12 10 13.0459
12 11 13.0459
12 13 13.0459
12 14 13.0459
2 3 13.0461
2 0 13.0461
0 1 13.049
0 2 13.049
0 13 13.049
0 14 13.049
12 10 13.0492
12 11 13.0492
12 13 13.0492
12 14 13.0492
12 10 13.0513
12 11 13.0513
12 13 13.0513
12 14 13.0513
12 10 13.0515
12 11 13.0515
12 13 13.0515
12 14 13.0515
0 1 13.0521
0 2 13.0521
0 13 13.0521
0 14 13.0521
12 10 13.0543
12 11 13.0543
12 13 13.0543
12 14 13.0543
14 0 13.0553
14 12 13.0553
14 0 13.0555
14 12 13.0555
14 0 13.0573
14 12 13.0573
14 0 13.0591
14 12 13.0591
14 0 13.0612
14 12 13.0612
14 0 13.0633
14 12 13.0633
12 10 13.064
12 11 13.064
12 13 13.064
12 14 13.064
14 0 13.0697
14 12 13.0697
0 1 13.071
0 2 13.071
0 13 13.071
0 14 13.071
14 0 13.0714
14 12 13.0714
0 1 13.0728
0 2 13.0728
0 13 13.0728
0 14 13.0728
14 0 13.0737
14 12 13.0737
0 1 13.0747
0 2 13.0747
0 13 13.0747
0 14 13.0747
0 1 13.0767
0 2 13.0767
0 13 13.0767
0 14 13.0767
0 1 13.0788
0 2 13.0788
0 13 13.0788
0 14 13.0788
0 1 13.0893
0 2 13.0893
0 13 13.0893
0 14 13.0893
14 0 14.0012
14 12 14.0012
5 3 14.0269
5 6 14.0269
12 10 14.0648
12 11 14.0648
12 13 14.0648
12 14 14.0648
11 9 14.1258
11 12 14.1258
10 9 14.2145
10 12 14.2145
6 4 14.223
6 5 14.223
6 7 14.223
6 8 14.223
7 6 14.2438
7 9 14.2438
1 3 14.3205
1 0 14.3205
3 1 14.3391
3 2 14.3391
3 4 14.3391
3 5 14.3391
2 3 14.3462
2 0 14.3462
13 0 14.3558
13 12 14.3558
8 6 14.3684
8 9 14.3684
9 7 14.374
9 8 14.374
9 10 14.374
9 11 14.374
4 3 14.4487
4 6 14.4487
0 1 14.4646
0 2 14.4646
0 13 14.4646
0 14 14.4646
1 3 14.9655
1 0 14.9655
7 6 14.9655
7 9 14.9655
1 3 14.9672
1 0 14.9672
7 6 14.9672
7 9 14.9672
7 6 14.9689
7 9 14.9689
1 3 14.9694
1 0 14.9694
7 6 14.9707
7 9 14.9707
1 3 14.9715
1 0 14.9715
7 6 14.9726
7 9 14.9726
1 3 14.9747
1 0 14.9747
7 6 14.9754
7 9 14.9754
3 1 14.9784
3 2 14.9784
3 4 14.9784
3 5 14.9784
3 1 14.9786
3 2 14.9786
3 4 14.9786
3 5 14.9786
1 3 14.9788
1 0 14.9788
9 7 14.9793
9 8 14.9793
9 10 14.9793
9 11 14.9793
9 7 14.9794
9 8 14.9794
9 10 14.9794
9 11 14.9794
7 6 14.9795
7 9 14.9795
3 1 14.9804
3 2 14.9804
3 4 14.9804
3 5 14.9804
9 7 14.9811
9 8 14.9811
9 10 14.9811
9 11 14.9811
3 1 14.9824
3 2 14.9824
3 4 14.9824
3 5 14.9824
1 3 14.9837
1 0 14.9837
3 1 14.9845
3 2 14.9845
3 4 14.9845
3 5 14.9845
9 7 14.9845
9 8 14.9845
9 10 14.9845
9 11 14.9845
9 7 14.9848
9 8 14.9848
9 10 14.9848
9 11 14.9848
9 7 14.9865
9 8 14.9865
9 10 14.9865
9 11 14.9865
3 1 14.9876
3 2 14.9876
3 4 14.9876
3 5 14.9876
3 1 14.9886
3 2 14.9886
3 4 14.9886
3 5 14.9886
9 7 14.9892
9 8 14.9892
9 10 14.9892
9 11 14.9892
9 7 14.9913
9 8 14.9913
9 10 14.9913
9 11 14.9913
3 1 14.9917
3 2 14.9917
3 4 14.9917
3 5 14.9917
3 1 14.9921
3 2 14.9921
3 4 14.9921
3 5 14.9921
2 3 14.9958
2 0 14.9958
2 3 14.996
2 0 14.996
3 1 14.9966
3 2 14.9966
3 4 14.9966
3 5 14.9966
3 1 14.9969
3 2 14.9969
3 4 14.9969
3 5 14.9969
2 3 14.9976
2 0 14.9976
2 3 14.9994
2 0 14.9994
9 7 15.0003
9 8 15.0003
9 10 15.0003
9 11 15.0003
11 9 15.0003
11 12 15.0003
11 9 15.002
11 12 15.002
11 9 15.0021
11 12 15.0021
2 3 15.0022
2 0 15.0022
11 9 15.0037
11 12 15.0037
2 3 15.0048
2 0 15.0048
11 9 15.0067
11 12 15.0067
11 9 15.0069
11 12 15.0069
2 3 15.008
2 0 15.008
11 9 15.0087
11 12 15.0087
11 9 15.011
11 12 15.011
0 1 15.0114
0 2 15.0114
0 13 15.0114
0 14 15.0114
2 3 15.0123
2 0 15.0123
14 0 15.0146
14 12 15.0146
0 1 15.0149
